Id,Sex,Sex Code,State,State Code,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,% of Total Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,State_Age_Combo,Year_dt,temp_sensor_readout,qc_flag_batch_3,legacy_index_offset,adjusted_pop_trend,confidence_spread_metric,Underlying_Cause,Contributing_Cause,Manner_of_Death,temporal_alignment_proxy,Target
102,F,F,Alabama,1.0,,,15-24 years,15-24,0.0,328292.0,57.57,49.36,65.78,4.19,Alabama_15-24 years,,-0.3248855174883803,0.194875286621847,-22,,1.3326580226904376,4590,-0.021343081873722,1,async,189.0
103,F,F,Alabama,1.0,,2015.0,25-34 years,25-34,0.0,,117.59,105.74,129.44,6.05,Alabama_25-34 years,,0.9265490321412976,-0.4068315097699178,-7,,1.2241346699451483,7126,-0.1166677452211284,4,sync,
104,F,F,Alabama,1.0,2015.0,,35-44 years,,0.0,309233.0,215.05,198.7,231.39,8.34,Alabama_35-44 years,1970-01-01 00:00:00.000002015,0.574183060472081,0.7464667636476136,-11,311552.2475,1.1645193759436336,3276,0.0488177386846032,4,async,665.0
105,F,F,Alabama,1.0,2015.0,,45-54 years,45-54,0.0,333918.0,471.97,448.67,495.27,11.89,Alabama_45-54 years,1970-01-01 00:00:00.000002015,-1.2731512285632265,0.8058347286652199,30,336422.385,1.1038625270243163,8291,0.0059769158568751,3,async,1576.0
106,F,F,Alabama,-91.43281059153604,1989.1243260702704,,55-64 years,55-64,0.0897377299645494,2885142.4615373546,,-23111.500020844345,26449.294394780452,-470.7931980392563,Alabama_55-64 years,1970-01-01 00:00:00.000001989,-0.2933294727616935,-0.6528021629112528,-28,2869453.5272111064,-1.1444213647286303,2210,-0.0090015950902544,2,pending,
107,F,F,Alabama,-91.43281059153604,1989.1243260702704,1989.1243260702704,65-74 years,65-74,0.0897377299645494,-2308778.4615373546,-22925.214180793595,-22229.960020844344,27373.344394780455,514.7431980392563,Alabama_65-74 years,1970-01-01 00:00:00.000001989,0.9649959469624412,0.4093621399966015,27,-2296223.7006755234,-1.2313717329726783,7031,0.033761515779045,1,sync,-26436.990927079107
108,F,F,Alabama,-91.43281059153604,2040.8756739297296,2040.8756739297296,75-84 years,75-84,-0.0597377299645494,err_202,-19962.51418079359,28657.340020844345,-20603.234394780455,-427.3031980392563,Alabama_75-84 years,1970-01-01 00:00:00.000002040,0.5052841286733797,-0.3995502141363415,-16,,-0.7189513883631343,5218,-0.0721948230640035,3,async,37181.99092707911
109,F,F,Alabama,1.0,,2015.0,85+ years,85+,0.02,57861.0,14496.81,14186.57,14807.05,158.29,Alabama_85+ years,,-0.8585451436972517,0.1938151274483852,4,,1.0437371401261897,8531,0.0853865334346248,3,pending,8388.0
110,F,F,Alabama,1.0,,2016.0,< 1 year,1,0.0,,,742.53,956.61,54.61,Alabama_< 1 year,,2.473750654935001,0.142867796111562,-8,,1.2883115833703689,8145,0.0413867929831046,2,async,242.0
111,F,F,Alabama,1.0,2016.0,,1-4 years,1-4,0.0,,24.33,16.17,35.16,4.6,Alabama_1-4 years,1970-01-01 00:00:00.000002016,0.5342763329601411,0.4565934732834364,10,,2.1743970315398884,3294,-0.1047772961001721,1,async,28.0
112,F,,Alabama,1.0,2016.0,2016.0,5-14 years,,0.0,298976.0,16.72,12.41,22.05,2.37,Alabama_5-14 years,1970-01-01 00:00:00.000002016,-1.6813404579260531,0.1479400157943397,40,301367.808,1.7767929089443997,7797,0.059849224478829,2,pending,50.0
113,F,,Alabama,1.0,2016.0,2016.0,15-24 years,15-24,0.0,err_516,61.86,53.29,,4.37,Alabama_15-24 years,1970-01-01 00:00:00.000002016,0.3730751280905289,0.1841405995021054,-21,,,4261,0.043799474876934,2,sync,200.0
114,,F,Alabama,1.0,2016.0,2016.0,25-34 years,25-34,0.0,323643.0,110.0,98.57,121.42,5.83,Alabama_25-34 years,NULL_TIMESTAMP,0.2991769927615682,-0.452714311491391,-35,326232.14400000003,1.2318149538399108,6338,0.1731356376529621,1,pending,
115,F,F,Alabama,1.0,,2016.0,35-44 years,35-44,0.0,,,216.33,250.57,8.74,Alabama_35-44 years,,0.7589208402664741,0.4538332419385411,-32,,1.1582767068830029,4753,-0.0506240291086773,4,async,714.0
116,F,F,Alabama,1.0,2016.0,2016.0,45-54 years,45-54,0.0,330806.0,,467.64,515.42,12.19,Alabama_45-54 years,NULL_TIMESTAMP,-1.9314714185325088,0.2304434707241504,-22,333452.448,1.1021726114104866,3192,0.1138588618756066,2,sync,1626.0
117,F,F,Alabama,1.0,,2016.0,55-64 years,55-64,0.01,337993.0,897.36,865.42,929.29,16.29,Alabama_55-64 years,,0.7309649517891451,-0.1192618580671171,-18,,1.0738023156386494,6401,-0.050101813183484,3,pending,3033.0
118,F,F,Alabama,1.0,,2016.0,65-74 years,,0.01,250233.0,1908.22,1854.1,1962.35,27.61,Alabama_65-74 years,,1.260905885565737,-0.078513984212786,45,,1.058384121676285,7620,-0.0841566422330833,1,async,4775.0
119,F,F,Alabama,93.43281059153604,2041.8756739297296,1990.1243260702704,75-84 years,75-84,-0.0597377299645494,-2416176.4615373546,,-19410.460020844344,,-428.3031980392563,Alabama_75-84 years,NULL_TIMESTAMP,-2.157354231104496,0.267543992727029,38,-2466765.9703673674,,1905,0.04194833217446,4,async,
120,,,Alabama,1.0,2016.0,2016.0,,85+,0.02,58484.0,,13813.86,14422.92,155.37,Alabama_85+ years,1970-01-01 00:00:00.000002016,2.00336862376151,-0.6895948756328926,-22,58951.872,1.0440905004104573,2843,0.0595455977621376,3,sync,8257.0
121,F,F,Alabama,1.0,,,< 1 year,1,0.0,28297.0,699.72,602.26,797.19,49.73,Alabama_< 1 year,,-1.013992594438068,-0.0632427513611767,-13,,1.3236641981868298,8120,0.1124316413069507,4,sync,198.0
122,F,F,Alabama,1.0,2017.0,2017.0,,1-4,0.0,115883.0,34.52,24.66,47.0,5.46,Alabama_1-4 years,1970-01-01 00:00:00.000002017,0.1540449590228585,0.1991521708153358,-49,116868.0055,1.9059205190592052,9860,-0.1017670092964554,2,pending,
123,F,F,Alabama,1.0,2017.0,2017.0,5-14 years,5-14,0.0,298740.0,16.74,12.42,,2.37,Alabama_5-14 years,1970-01-01 00:00:00.000002017,0.185871191870315,0.5886298435440948,2,301279.29,,6781,-0.0667205560024248,4,async,
124,F,F,Alabama,1.0,,2017.0,15-24 years,,0.0,320303.0,,46.83,63.07,4.14,Alabama_15-24 years,NULL_TIMESTAMP,-0.6165288766739289,-1.0060983572388136,9,,1.3467862481315396,2520,0.0261866050005918,3,pending,176.0
125,,F,Alabama,1.0,2017.0,2017.0,25-34 years,25-34,0.0,324960.0,109.55,98.17,,5.81,Alabama_25-34 years,1970-01-01 00:00:00.000002017,-1.3450020095220037,-0.580933791829263,16,327722.16,,5614,0.0385274775328717,4,async,
126,F,F,Alabama,1.0,2017.0,2017.0,35-44 years,35-44,0.0,304686.0,220.88,204.19,237.57,8.51,Alabama_35-44 years,1970-01-01 00:00:00.000002017,-0.2613196863169571,-0.0014472867189825,-8,307275.831,1.1634751946716293,1287,-0.0699038961499579,4,async,673.0
127,F,F,Alabama,1.0,,2017.0,,45-54,0.0,err_966,442.92,420.12,465.73,11.64,Alabama_45-54 years,,-1.2896386590606694,0.3704371916231736,45,,1.1085642197467391,9139,0.010746592508266,2,sync,
128,F,F,Alabama,1.0,2017.0,2017.0,55-64 years,55-64,0.01,341133.0,,886.25,950.57,16.41,Alabama_55-64 years,1970-01-01 00:00:00.000002017,0.2408716455367661,-0.0706299938733693,49,344032.63049999997,1.0725754583921017,8260,0.176464936488379,3,async,3133.0
129,F,F,Alabama,1.0,,,,65-74,0.01,,1874.32,1821.42,,26.99,Alabama_65-74 years,,0.7549439466472121,0.3624194811828138,-21,,,5175,0.1017293949521651,2,sync,
130,F,F,,1.0,,,75-84 years,75-84,0.02,137417.0,,4636.7,,58.81,Alabama_75-84 years,,-1.08633349722767,-0.2582437962486044,13,,,2083,-0.1883469035963201,1,async,
131,F,F,Alabama,-91.43281059153604,1991.1243260702704,,85+ years,85+,-0.0597377299645494,2610046.4615373546,,-10022.590020844344,-10920.284394780454,642.8631980392563,Alabama_85+ years,1970-01-01 00:00:00.000001991,0.8438531101152901,0.5700322795143533,21,2598463.50087033,1.089567105116456,2703,-0.0080592412645651,2,async,
132,,F,Alabama,1.0,2018.0,,< 1 year,1,0.0,err_104,602.28,510.93,693.63,46.61,Alabama_< 1 year,1970-01-01 00:00:00.000002018,1.0191201434966617,-0.2897266333414623,-46,,1.3575832305795317,6306,-0.0238271906615572,4,pending,167.0
133,F,F,Alabama,1.0,,2018.0,1-4 years,1-4,0.0,err_705,,18.83,38.87,4.87,Alabama_1-4 years,,-1.0114489501609638,0.5627792437097724,7,,2.064259160913436,8808,0.0449009913758075,2,async,32.0
134,F,F,Alabama,1.0,2018.0,,5-14 years,5-14,0.0,298051.0,,10.44,,2.2,Alabama_5-14 years,1970-01-01 00:00:00.000002018,-0.7724050539752103,0.6386309752651833,18,300733.459,,7842,-0.0555962783199723,3,pending,43.0
135,F,F,Alabama,93.43281059153604,1992.1243260702704,1992.1243260702704,,,-0.0797377299645494,,,24043.320020844345,,-483.0931980392563,Alabama_15-24 years,1970-01-01 00:00:00.000001992,0.3714984288962907,0.2176546984093496,42,,,6043,-0.0871255574604726,3,pending,31022.990927079107
136,F,F,Alabama,1.0,,,25-34 years,25-34,0.0,326143.0,108.54,97.23,119.85,5.77,Alabama_25-34 years,,-0.9232944811193514,0.0690424936001123,46,,1.2326442456032087,8889,-0.1308895071400253,4,sync,354.0
137,F,F,Alabama,1.0,2018.0,2018.0,35-44 years,35-44,0.0,err_788,,212.25,,8.66,Alabama_35-44 years,1970-01-01 00:00:00.000002018,0.2061288130989441,1.2019113313899592,48,,,3532,-0.1760605322161633,3,async,700.0
138,F,F,Alabama,1.0,2018.0,2018.0,45-54 years,45-54,0.0,323103.0,450.63,427.48,,11.81,Alabama_45-54 years,1970-01-01 00:00:00.000002018,0.6399974814580662,0.5441813447054601,32,326010.92699999997,,7120,-0.0093061523873539,2,pending,
139,F,F,Alabama,1.0,,,55-64 years,55-64,0.01,343624.0,945.51,913.0,978.02,16.59,Alabama_55-64 years,,-2.402970083670886,0.3904159198143943,39,,1.0712157721796276,3717,-0.0492980432399595,4,async,3249.0
140,F,F,Alabama,1.0,,2018.0,65-74 years,65-74,0.01,,1888.13,1835.64,,26.78,Alabama_65-74 years,,-0.2616505675377482,-0.4839683296174468,45,,,4267,0.0982750940150833,4,sync,
141,F,F,,1.0,2018.0,,75-84 years,75-84,0.02,143316.0,4708.48,4596.13,,57.32,Alabama_75-84 years,1970-01-01 00:00:00.000002018,0.1851631701908531,0.5736039746956182,-13,144605.84399999998,,4487,0.0560613640584365,2,sync,
142,F,F,Alabama,1.0,,,85+ years,,0.02,59732.0,14024.31,13723.98,,153.23,Alabama_85+ years,,-0.403494928197283,-0.0668880865403342,6,,,1435,0.0382922714727312,4,async,8377.0
143,F,,Alabama,1.0,2019.0,,< 1 year,1,0.0,,,629.29,830.04,51.21,Alabama_< 1 year,1970-01-01 00:00:00.000002019,-2.105158315244713,1.0529153748791034,44,,1.3190103132101256,8140,-0.1897974963486806,4,sync,
144,F,F,Alabama,1.0,,,1-4 years,1-4,0.0,116821.0,,28.1,51.54,5.74,Alabama_1-4 years,,-0.6855415341447127,-0.1625133744563845,-1,,1.8341637010676155,1463,0.0506553330850776,3,pending,45.0
145,,,Alabama,1.0,2019.0,2019.0,,5-14,0.0,298321.0,16.76,12.44,22.1,2.37,Alabama_5-14 years,NULL_TIMESTAMP,-0.2538533077402583,0.1231344535892065,-24,301155.0495,1.7765273311897107,7188,0.141499392836325,2,sync,50.0
146,F,F,,1.0,2019.0,2019.0,15-24 years,15-24,0.0,315228.0,55.83,47.58,,4.21,Alabama_15-24 years,1970-01-01 00:00:00.000002019,-1.661410104074437,-0.1015122485046968,-15,318222.666,,9986,0.1271110369249049,4,sync,176.0
147,F,F,Alabama,1.0,2019.0,2019.0,25-34 years,25-34,0.0,327364.0,,99.48,122.29,5.82,Alabama_25-34 years,1970-01-01 00:00:00.000002019,0.0397806666056665,0.0342963899256077,-26,330473.95800000004,1.2292923200643346,8870,-0.0255878338791002,2,pending,363.0
148,F,F,Alabama,1.0,,2019.0,35-44 years,35-44,0.0,306726.0,213.55,197.19,,8.34,Alabama_35-44 years,,0.4700285514550565,-0.0087881343103843,20,,,4490,-0.2635942753890956,3,sync,655.0
149,F,F,,1.0,,,45-54 years,45-54,0.0,err_675,425.59,402.92,448.27,11.57,Alabama_45-54 years,NULL_TIMESTAMP,0.1801393354286377,-0.893410671733126,27,,1.1125533604685791,8883,-0.090799512945916,1,sync,
150,F,F,Alabama,1.0,,2019.0,55-64 years,55-64,0.01,err_112,915.33,883.4,947.27,16.29,Alabama_55-64 years,,-0.9256290373963982,-0.3214978273240885,-13,,1.072300203758207,8800,-0.04226635465671,3,pending,3156.0
151,F,F,Alabama,1.0,2019.0,2019.0,65-74 years,65-74,0.01,270914.0,,1820.29,1923.33,26.29,Alabama_65-74 years,1970-01-01 00:00:00.000002019,0.3449606958002682,-0.3600070768301724,-29,273487.683,1.0566063649198754,1031,-0.1225401317072309,4,async,
152,F,F,Alabama,1.0,,2019.0,75-84 years,75-84,0.02,,4517.08,4408.64,4625.53,55.33,Alabama_75-84 years,,-1.0227465273922438,0.1994987457700567,-24,,1.049196577629382,4956,-0.1008910359660428,1,pending,6665.0
153,F,F,Alabama,1.0,,2019.0,,85+,0.02,,,13458.13,14050.55,151.13,Alabama_85+ years,,-0.2182651467465156,0.2060242181824608,-1,,1.0440194885916545,3278,-0.0167114233877244,2,pending,8283.0
154,F,F,,1.0,,2020.0,< 1 year,1,0.0,27547.0,588.09,497.53,,46.2,Alabama_< 1 year,NULL_TIMESTAMP,0.6493783807164752,-0.4460191294148133,25,,,2278,0.1480220379886565,3,pending,
155,F,F,Alabama,1.0,2020.0,2020.0,1-4 years,1-4,0.0,115270.0,,24.79,47.25,5.49,Alabama_1-4 years,1970-01-01 00:00:00.000002020,-0.0667516957651634,0.3885968227568173,48,116422.7,1.9060104881000404,6435,0.065730024734166,2,async,
156,F,F,Alabama,1.0,2020.0,,,5-14,0.0,299382.0,11.69,8.14,16.26,1.98,Alabama_5-14 years,NULL_TIMESTAMP,-0.4479004284036049,0.0545672382778132,22,302375.82,1.9975429975429977,7900,0.0282663902696675,1,pending,35.0
157,,,Alabama,1.0,2020.0,,15-24 years,15-24,0.0,314320.0,56.95,48.61,65.29,4.26,Alabama_15-24 years,1970-01-01 00:00:00.000002020,-0.2069470136201143,0.2685318094627028,-26,317463.2,1.3431392717547832,6293,0.0833473138397706,2,sync,179.0
158,F,,Alabama,1.0,2020.0,2020.0,,25-34,0.0,328597.0,127.21,115.01,,6.22,Alabama_25-34 years,NULL_TIMESTAMP,1.0529487633739243,0.216220041307394,3,331882.97000000003,,4360,-0.0623460729966525,3,sync,418.0
159,F,F,Alabama,1.0,,2020.0,35-44 years,35-44,0.0,308698.0,264.98,246.82,283.14,9.26,Alabama_35-44 years,,-0.1139009882133741,-0.6015838070024904,-48,,1.1471517705210277,2225,0.0122567565105968,2,pending,818.0
160,F,,Alabama,1.0,2020.0,2020.0,,45-54,0.0,313969.0,,516.96,568.5,13.15,Alabama_45-54 years,1970-01-01 00:00:00.000002020,0.4128151495699776,-0.0181016835553549,35,317108.69,1.0996982358402971,4503,-0.0206969568374933,4,sync,1704.0
161,F,F,,1.0,2020.0,,55-64 years,55-64,0.01,err_74,,1077.84,1148.32,17.98,Alabama_55-64 years,1970-01-01 00:00:00.000002020,-0.6279874376568142,0.3712788215449571,-40,,1.0653900393379352,6550,-0.1080559408220901,1,async,3833.0
162,,F,Alabama,1.0,2020.0,2020.0,65-74 years,65-74,0.02,280345.0,2169.47,2114.95,,27.82,Alabama_65-74 years,1970-01-01 00:00:00.000002020,-1.23525460488782,0.1265110270180874,-48,283148.45,,7843,-0.2114766545633735,1,async,
163,F,F,Alabama,1.0,,,75-84 years,75-84,0.02,151147.0,5331.23,5214.83,5447.64,59.39,Alabama_75-84 years,,-2.207402095792935,0.1340623124078822,47,,1.0446438330683838,1269,-0.0297901075928556,3,pending,8058.0
164,F,F,Alabama,1.0,2020.0,2020.0,,85+,0.02,err_506,,15620.45,16254.43,161.73,Alabama_85+ years,1970-01-01 00:00:00.000002020,-0.7254400182857643,0.0521650469173909,8,,1.0405865388000983,9458,0.0087572415987812,2,async,
165,F,F,Alaska,2.0,,,< 1 year,1,0.0,4798.0,854.52,613.22,1159.25,133.45,Alaska_< 1 year,,-1.592388326872748,-0.3734532926267698,6,,1.8904308404813932,5983,-0.1014815813507637,3,pending,41.0
166,F,F,Alaska,2.0,,2006.0,15-24 years,15-24,0.0,,39.54,24.15,61.06,8.84,Alaska_15-24 years,NULL_TIMESTAMP,-0.1715424391813189,0.2934034386288853,-27,,2.5283643892339547,3367,-0.124008522434804,3,async,20.0
167,F,F,Alaska,2.0,,,25-34 years,25-34,0.0,43555.0,89.54,63.67,122.41,14.34,Alaska_25-34 years,,-0.5105617807297063,-0.5462660065358971,35,,1.922569498979111,2785,-0.0420168415725285,1,sync,39.0
168,F,F,Alaska,2.0,,2006.0,,35-44,0.0,err_321,,148.21,227.1,19.56,Alaska_35-44 years,,0.7889456348192267,-0.2035514248233761,48,,1.5322852708993997,7974,0.0311078248126954,3,pending,
169,,F,Alaska,94.43281059153604,,,45-54 years,45-54,-0.0797377299645494,-2497490.4615373546,25058.954180793597,24262.410020844345,25864.944394780458,511.63319803925634,Alaska_45-54 years,,-0.8292700026580779,-0.6657035063123399,40,,1.0660500903479635,7548,-0.0940304845840729,4,async,31009.990927079107
170,F,F,Alaska,2.0,,,55-64 years,55-64,0.0,32349.0,537.88,457.96,617.81,40.78,Alaska_55-64 years,,-1.0878783520764053,0.2127655552556948,-37,,1.3490479517861822,3952,0.0960436211071318,2,sync,
171,F,,Alaska,2.0,,,65-74 years,65-74,0.0,13606.0,1830.07,1602.76,2057.39,115.98,Alaska_65-74 years,,1.2212134258767358,0.0928772346991455,3,,1.283654446080511,3261,-0.1858214347125306,2,pending,249.0
172,F,F,Alaska,2.0,,,75-84 years,75-84,0.0,7494.0,4870.56,4370.89,,254.94,Alaska_75-84 years,NULL_TIMESTAMP,1.091785435459666,0.3984177777474135,22,,,6279,0.1298982519717004,3,sync,365.0
173,F,F,Alaska,-90.43281059153604,,1980.1243260702704,85+ years,85+,0.0797377299645494,-2548432.4615373546,37112.7741807936,35008.530020844344,-11776.784394780454,1178.8231980392563,Alaska_85+ years,,0.4454235930923113,-0.0174602899478203,30,,-0.3363975690429865,6784,0.2210720659655524,2,async,-30520.990927079107
174,F,F,Alaska,2.0,,2007.0,< 1 year,1,0.0,5143.0,505.54,330.23,740.73,99.14,Alaska_< 1 year,,0.4134365387393335,-0.2138483212339277,-1,,2.2430730097204976,3977,-0.0316654267090421,1,pending,
175,F,F,Alaska,2.0,2007.0,2007.0,15-24 years,15-24,0.0,50391.0,53.58,35.31,77.96,10.31,Alaska_15-24 years,1970-01-01 00:00:00.000002007,0.4886616295863411,0.100427224280416,-39,50567.3685,2.207873123760974,1848,-0.0504435402493485,2,pending,27.0
176,F,F,Alaska,2.0,2007.0,,25-34 years,25-34,0.0,44371.0,74.37,51.19,,12.95,Alaska_25-34 years,1970-01-01 00:00:00.000002007,-0.2890426730695512,0.7298881071977957,21,44526.2985,,8040,-0.0089423341035622,4,sync,
177,F,F,Alaska,2.0,2007.0,,35-44 years,35-44,0.0,46925.0,183.27,146.59,,19.76,Alaska_35-44 years,1970-01-01 00:00:00.000002007,-2.194661726699169,0.8740168308042195,-34,47089.2375,,1206,-0.0726884168814236,2,pending,
178,F,F,Alaska,2.0,2007.0,2007.0,45-54 years,45-54,0.0,53770.0,329.18,280.68,377.68,24.74,Alaska_45-54 years,1970-01-01 00:00:00.000002007,-1.2483492251267008,0.158144397566871,8,53958.195,1.3455892831694456,2590,0.0080758997100493,2,pending,177.0
179,F,F,Alaska,2.0,2007.0,2007.0,55-64 years,,0.0,34318.0,,529.16,,42.23,Alaska_55-64 years,1970-01-01 00:00:00.000002007,1.5020988036769638,1.014381175086656,-33,34438.113000000005,,3697,-0.0261942454347113,2,sync,
180,F,F,Alaska,2.0,2007.0,2007.0,65-74 years,65-74,0.0,14421.0,,1525.19,1955.84,109.86,Alaska_65-74 years,NULL_TIMESTAMP,1.1344335337769291,0.4056245521563105,-43,14471.4735,1.2823582635606054,4338,-0.083521231892891,3,async,
181,F,F,Alaska,2.0,,2007.0,75-84 years,75-84,0.0,7556.0,4539.44,4059.03,5019.85,245.11,Alaska_75-84 years,,0.6676890968749183,0.0828130213164034,14,,1.2367117266933234,4459,0.0713684269869178,3,async,
182,F,F,Alaska,2.0,2007.0,2007.0,85+ years,85+,0.0,2660.0,,11280.93,,689.11,Alaska_85+ years,1970-01-01 00:00:00.000002007,-0.2036112198196169,-0.2732634197830805,21,2669.31,,5591,-0.0031307387751224,3,pending,336.0
183,F,F,Alaska,2.0,2008.0,,< 1 year,1,0.0,5188.0,558.98,374.36,802.79,103.8,Alaska_< 1 year,1970-01-01 00:00:00.000002008,-0.8268416188537094,0.3482595301614134,35,5208.752,2.144433165936531,4777,0.1353023148794326,1,sync,29.0
184,F,F,Alaska,2.0,2008.0,2008.0,15-24 years,15-24,0.0,49669.0,56.37,37.46,81.48,10.65,Alaska_15-24 years,1970-01-01 00:00:00.000002008,-1.3095635395518868,-0.3309805177004118,-27,49867.676,2.175120128136679,1775,0.0182874190035706,2,async,
185,F,F,Alaska,2.0,,,25-34 years,25-34,0.0,,72.43,49.86,101.71,12.61,Alaska_25-34 years,,1.7647473070804671,-0.7182867209468372,-48,,2.0399117529081425,6160,-0.0457521281718934,1,sync,
186,F,F,Alaska,2.0,2008.0,2008.0,35-44 years,35-44,0.0,45515.0,,157.03,,20.73,Alaska_35-44 years,1970-01-01 00:00:00.000002008,1.2364779313926462,-0.1567660460370507,27,45697.06,,8300,-0.0917418403218528,1,sync,89.0
187,F,F,Alaska,2.0,,2008.0,45-54 years,45-54,0.0,,298.17,251.97,344.38,23.57,Alaska_45-54 years,,2.0977314053738194,-0.0389094241723416,-28,,1.3667500099218162,4173,-0.0403143447791456,4,async,160.0
188,F,F,Alaska,2.0,2008.0,,55-64 years,55-64,0.0,36348.0,638.27,556.14,720.41,41.9,Alaska_55-64 years,1970-01-01 00:00:00.000002008,0.0810997272217691,-0.0723661148457596,-13,36493.392,1.2953752652209876,9813,-0.1359956326466912,3,async,
189,,F,Alaska,2.0,,2008.0,65-74 years,65-74,0.0,15268.0,,1391.45,,102.1,Alaska_65-74 years,,0.9788898666630408,0.1923929508608985,-4,,,7482,-0.0616234954735625,1,sync,243.0
190,F,F,Alaska,2.0,2008.0,,75-84 years,75-84,0.0,7808.0,4316.09,3855.27,4776.91,235.11,Alaska_75-84 years,1970-01-01 00:00:00.000002008,-1.1727824097703357,0.4329194375698757,-27,7839.232,1.2390597805082393,2298,0.0710684997674824,4,sync,337.0
191,F,,Alaska,2.0,,2008.0,,85+,0.0,2803.0,12343.92,11043.24,,663.61,Alaska_85+ years,,2.100208750107148,-0.9874138955525442,-2,,,1502,0.0818339908491097,3,pending,346.0
192,F,F,Alaska,2.0,2009.0,,< 1 year,1,0.0,err_819,655.31,456.45,,110.77,Alaska_< 1 year,1970-01-01 00:00:00.000002009,-0.0395689122239236,-0.2774446548688315,-13,,,7045,-0.0508670230198105,3,sync,
193,F,F,,2.0,,2009.0,15-24 years,15-24,0.0,err_850,,48.79,,11.84,Alaska_15-24 years,,1.4563421938588446,-0.4466155665989063,-25,,,4802,0.088622289411066,2,async,35.0
194,F,F,Alaska,2.0,2009.0,2009.0,25-34 years,25-34,0.0,47368.0,105.56,78.35,,14.93,Alaska_25-34 years,1970-01-01 00:00:00.000002009,-0.7849898329926017,-0.8537290384024795,48,47581.155999999995,,6303,-0.0394384439531064,1,async,
195,,,Alaska,2.0,2009.0,,35-44 years,35-44,0.0,45176.0,166.02,130.58,208.1,19.17,Alaska_35-44 years,1970-01-01 00:00:00.000002009,0.945159352242138,0.016276325992846,-29,45379.292,1.5936590595803335,3190,0.1359010545156323,2,async,
196,F,F,Alaska,2.0,2009.0,2009.0,45-54 years,45-54,0.0,,355.26,305.01,405.51,25.64,Alaska_45-54 years,1970-01-01 00:00:00.000002009,-0.3542815006024878,-0.0534642740001335,-15,,1.3294973935280812,2581,0.0278601335140045,2,sync,
197,F,F,Alaska,2.0,,,55-64 years,55-64,0.0,38763.0,,418.06,,35.47,Alaska_55-64 years,NULL_TIMESTAMP,0.0964549144931306,0.3352871372050935,-16,,,1671,-0.0424378981122114,2,sync,189.0
